Name,Value.Id,Value.SepalLengthCm,Value.SepalWidthCm,Value.df_pg.PetalWidthCm,Value.df_pg.PetalLengthCm.1,Value.df_pg.Species,Value.Anomaly,Value.Anomaly_Score
output,1,5.1,3.5,0.2,1.4,Iris-setosa,0,-0.11894680550655456
output,2,4.9,3.0,0.2,1.4,Iris-setosa,0,-0.1184303483607404
output,3,4.7,3.2,0.2,1.3,Iris-setosa,0,-0.1035381220098987
output,4,4.6,3.1,0.2,1.5,Iris-setosa,0,-0.10617377127436967
output,5,5.0,3.6,0.2,1.4,Iris-setosa,0,-0.11934350567575142
output,6,5.4,3.9,0.4,1.7,Iris-setosa,0,-0.0485011523080372
output,7,4.6,3.4,0.3,1.4,Iris-setosa,0,-0.08735017520826621
output,8,5.0,3.4,0.2,1.5,Iris-setosa,0,-0.14130382395128982
output,9,4.4,2.9,0.2,1.4,Iris-setosa,0,-0.06613483014428556
output,10,4.9,3.1,0.1,1.5,Iris-setosa,0,-0.08522370237112675
output,11,5.4,3.7,0.2,1.5,Iris-setosa,0,-0.11460247858157874
output,12,4.8,3.4,0.2,1.6,Iris-setosa,0,-0.13132779715965898
output,13,4.8,3.0,0.1,1.4,Iris-setosa,0,-0.08494213248574262
output,14,4.3,3.0,0.1,1.1,Iris-setosa,1,0.010801821580294302
output,15,5.8,4.0,0.2,1.2,Iris-setosa,0,-0.03694229045871844
output,16,5.7,4.4,0.4,1.5,Iris-setosa,0,-0.0180565841592214
output,17,5.4,3.9,0.4,1.3,Iris-setosa,0,-0.07781168202062716
output,18,5.1,3.5,0.3,1.4,Iris-setosa,0,-0.146953401031847
output,19,5.7,3.8,0.3,1.7,Iris-setosa,0,-0.06270406309210663
output,20,5.1,3.8,0.3,1.5,Iris-setosa,0,-0.13095417433347922
output,21,5.4,3.4,0.2,1.7,Iris-setosa,0,-0.12085503998436953
output,22,5.1,3.7,0.4,1.5,Iris-setosa,0,-0.12161997560614662
output,23,4.6,3.6,0.2,1.0,Iris-setosa,0,-0.028036848567532413
output,24,5.1,3.3,0.5,1.7,Iris-setosa,0,-0.0710999386482879
output,25,4.8,3.4,0.2,1.9,Iris-setosa,0,-0.09694543248442955
output,26,5.0,3.0,0.2,1.6,Iris-setosa,0,-0.13961877668736028
output,27,5.0,3.4,0.4,1.6,Iris-setosa,0,-0.12683709658659464
output,28,5.2,3.5,0.2,1.5,Iris-setosa,0,-0.1573152281211837
output,29,5.2,3.4,0.2,1.4,Iris-setosa,0,-0.15477184591183862
output,30,4.7,3.2,0.2,1.6,Iris-setosa,0,-0.13602503022251045
output,31,4.8,3.1,0.2,1.6,Iris-setosa,0,-0.144668609907031
output,32,5.4,3.4,0.4,1.5,Iris-setosa,0,-0.1071217330684256
output,33,5.2,4.1,0.1,1.5,Iris-setosa,0,-0.04972042344512695
output,34,5.5,4.2,0.2,1.4,Iris-setosa,0,-0.0767838247220205
output,35,4.9,3.1,0.1,1.5,Iris-setosa,0,-0.11797716390525442
output,36,5.0,3.2,0.2,1.2,Iris-setosa,0,-0.12958388772646345
output,37,5.5,3.5,0.2,1.3,Iris-setosa,0,-0.10678133262417616
output,38,4.9,3.1,0.1,1.5,Iris-setosa,0,-0.11140026557231336
output,39,4.4,3.0,0.2,1.3,Iris-setosa,0,-0.0896588451533068
output,40,5.1,3.4,0.2,1.5,Iris-setosa,0,-0.1512350145677796
output,41,5.0,3.5,0.3,1.3,Iris-setosa,0,-0.1244774680910114
output,42,4.5,2.3,0.3,1.3,Iris-setosa,1,0.005811566067300378
output,43,4.4,3.2,0.2,1.3,Iris-setosa,0,-0.0903630957850946
output,44,5.0,3.5,0.6,1.6,Iris-setosa,0,-0.05345639423730064
output,45,5.1,3.8,0.4,1.9,Iris-setosa,0,-0.0543916505167078
output,46,4.8,3.0,0.3,1.4,Iris-setosa,0,-0.09969925965936366
output,47,5.1,3.8,0.2,1.6,Iris-setosa,0,-0.10359387140245196
output,48,4.6,3.2,0.2,1.4,Iris-setosa,0,-0.11343473095266021
output,49,5.3,3.7,0.2,1.5,Iris-setosa,0,-0.09378904575739677
output,50,5.0,3.3,0.2,1.4,Iris-setosa,0,-0.11319629947526505
output,51,7.0,3.2,1.4,4.7,Iris-versicolor,0,-0.04088168146217808
output,52,6.4,3.2,1.5,4.5,Iris-versicolor,0,-0.09439058461684058
output,53,6.9,3.1,1.5,4.9,Iris-versicolor,0,-0.06817072625749399
output,54,5.5,2.3,1.3,4.0,Iris-versicolor,0,-0.06005150372200463
output,55,6.5,2.8,1.5,4.6,Iris-versicolor,0,-0.10690961298711499
output,56,5.7,2.8,1.3,4.5,Iris-versicolor,0,-0.1215772088973674
output,57,6.3,3.3,1.6,4.7,Iris-versicolor,0,-0.06822891238820183
output,58,4.9,2.4,1.0,3.3,Iris-versicolor,0,-0.0021542246349928185
output,59,6.6,2.9,1.3,4.6,Iris-versicolor,0,-0.09698682067632569
output,60,5.2,2.7,1.4,3.9,Iris-versicolor,0,-0.05417618357598031
output,61,5.0,2.0,1.0,3.5,Iris-versicolor,1,0.013382897083201395
output,62,5.9,3.0,1.5,4.2,Iris-versicolor,0,-0.11621151154217918
output,63,6.0,2.2,1.0,4.0,Iris-versicolor,0,-0.043691352639042336
output,64,6.1,2.9,1.4,4.7,Iris-versicolor,0,-0.1357492089902136
output,65,5.6,2.9,1.3,3.6,Iris-versicolor,0,-0.08649419551387344
output,66,6.7,3.1,1.4,4.4,Iris-versicolor,0,-0.10414464926007044
output,67,5.6,3.0,1.5,4.5,Iris-versicolor,0,-0.12686139841209398
output,68,5.8,2.7,1.0,4.1,Iris-versicolor,0,-0.09502679124573754
output,69,6.2,2.2,1.5,4.5,Iris-versicolor,0,-0.06307944793294662
output,70,5.6,2.5,1.1,3.9,Iris-versicolor,0,-0.09772090596421573
output,71,5.9,3.2,1.8,4.8,Iris-versicolor,0,-0.05473315016332703
output,72,6.1,2.8,1.3,4.0,Iris-versicolor,0,-0.1284536012850359
output,73,6.3,2.5,1.5,4.9,Iris-versicolor,0,-0.09257940120242014
output,74,6.1,2.8,1.2,4.7,Iris-versicolor,0,-0.11863395056478965
output,75,6.4,2.9,1.3,4.3,Iris-versicolor,0,-0.12202741657656457
output,76,6.6,3.0,1.4,4.4,Iris-versicolor,0,-0.11471176178177506
output,77,6.8,2.8,1.4,4.8,Iris-versicolor,0,-0.09151276353854804
output,78,6.7,3.0,1.7,5.0,Iris-versicolor,0,-0.058477316781995525
output,79,6.0,2.9,1.5,4.5,Iris-versicolor,0,-0.1447906091446457
output,80,5.7,2.6,1.0,3.5,Iris-versicolor,0,-0.06088637112430917
output,81,5.5,2.4,1.1,3.8,Iris-versicolor,0,-0.09030472811876755
output,82,5.5,2.4,1.0,3.7,Iris-versicolor,0,-0.08118530400844237
output,83,5.8,2.7,1.2,3.9,Iris-versicolor,0,-0.12049614233124317
output,84,6.0,2.7,1.6,5.1,Iris-versicolor,0,-0.06827897083984436
output,85,5.4,3.0,1.5,4.5,Iris-versicolor,0,-0.1000117000448455
output,86,6.0,3.4,1.6,4.5,Iris-versicolor,0,-0.07050159768420838
output,87,6.7,3.1,1.5,4.7,Iris-versicolor,0,-0.0910035944938386
output,88,6.3,2.3,1.3,4.4,Iris-versicolor,0,-0.07728021581647682
output,89,5.6,3.0,1.3,4.1,Iris-versicolor,0,-0.12736131465042377
output,90,5.5,2.5,1.3,4.0,Iris-versicolor,0,-0.11206946077212787
output,91,5.5,2.6,1.2,4.4,Iris-versicolor,0,-0.11087102444808078
output,92,6.1,3.0,1.4,4.6,Iris-versicolor,0,-0.12464212693465038
output,93,5.8,2.6,1.2,4.0,Iris-versicolor,0,-0.11911981471308936
output,94,5.0,2.3,1.0,3.3,Iris-versicolor,0,-0.01092165699719605
output,95,5.6,2.7,1.3,4.2,Iris-versicolor,0,-0.13642242782263903
output,96,5.7,3.0,1.2,4.2,Iris-versicolor,0,-0.1110939457765826
output,97,5.7,2.9,1.3,4.2,Iris-versicolor,0,-0.13709790438630376
output,98,6.2,2.9,1.3,4.3,Iris-versicolor,0,-0.10161719542588254
output,99,5.1,2.5,1.1,3.0,Iris-versicolor,1,0.0017625474286305787
output,100,5.7,2.8,1.3,4.1,Iris-versicolor,0,-0.11742303094873358
output,101,6.3,3.3,2.5,6.0,Iris-virginica,0,-0.027685368400547583
output,102,5.8,2.7,1.9,5.1,Iris-virginica,0,-0.09301907976489954
output,103,7.1,3.0,2.1,5.9,Iris-virginica,0,-0.09927301187200338
output,104,6.3,2.9,1.8,5.6,Iris-virginica,0,-0.11499595432402082
output,105,6.5,3.0,2.2,5.8,Iris-virginica,0,-0.11344367521126503
output,106,7.6,3.0,2.1,6.6,Iris-virginica,0,-0.04463043513516918
output,107,4.9,2.5,1.7,4.5,Iris-virginica,1,0.01676492475091107
output,108,7.3,2.9,1.8,6.3,Iris-virginica,0,-0.07234908489079162
output,109,6.7,2.5,1.8,5.8,Iris-virginica,0,-0.08613728969305823
output,110,7.2,3.6,2.5,6.1,Iris-virginica,0,-0.017220308334280787
output,111,6.5,3.2,2.0,5.1,Iris-virginica,0,-0.11871061555242685
output,112,6.4,2.7,1.9,5.3,Iris-virginica,0,-0.12458824344321479
output,113,6.8,3.0,2.1,5.5,Iris-virginica,0,-0.1300524964344988
output,114,5.7,2.5,2.0,5.0,Iris-virginica,0,-0.08734318937897634
output,115,5.8,2.8,2.4,5.1,Iris-virginica,0,-0.07209272954724066
output,116,6.4,3.2,2.3,5.3,Iris-virginica,0,-0.11292294151539556
output,117,6.5,3.0,1.8,5.5,Iris-virginica,0,-0.141252531105664
output,118,7.7,3.8,2.2,6.7,Iris-virginica,1,0.014338300462819698
output,119,7.7,2.6,2.3,6.9,Iris-virginica,1,0.016678510630423138
output,120,6.0,2.2,1.5,5.0,Iris-virginica,0,-0.017177830557384643
output,121,6.9,3.2,2.3,5.7,Iris-virginica,0,-0.11522683140358986
output,122,5.6,2.8,2.0,4.9,Iris-virginica,0,-0.08925832562921326
output,123,7.7,2.8,2.0,6.7,Iris-virginica,0,-0.0404847348007501
output,124,6.3,2.7,1.8,4.9,Iris-virginica,0,-0.12443724094491648
output,125,6.7,3.3,2.1,5.7,Iris-virginica,0,-0.1201760345993404
output,126,7.2,3.2,1.8,6.0,Iris-virginica,0,-0.09566523559601198
output,127,6.2,2.8,1.8,4.8,Iris-virginica,0,-0.12208734840447122
output,128,6.1,3.0,1.8,4.9,Iris-virginica,0,-0.13109959636317314
output,129,6.4,2.8,2.1,5.6,Iris-virginica,0,-0.13785940740611563
output,130,7.2,3.0,1.6,5.8,Iris-virginica,0,-0.0674265140023601
output,131,7.4,2.8,1.9,6.1,Iris-virginica,0,-0.07466602204644945
output,132,7.9,3.8,2.0,6.4,Iris-virginica,1,0.03673789818558826
output,133,6.4,2.8,2.2,5.6,Iris-virginica,0,-0.12446400277878872
output,134,6.3,2.8,1.5,5.1,Iris-virginica,0,-0.10065395450661335
output,135,6.1,2.6,1.4,5.6,Iris-virginica,0,-0.04646612797305505
output,136,7.7,3.0,2.3,6.1,Iris-virginica,0,-0.04611316748896088
output,137,6.3,3.4,2.4,5.6,Iris-virginica,0,-0.0837726096648056
output,138,6.4,3.1,1.8,5.5,Iris-virginica,0,-0.13039512090436006
output,139,6.0,3.0,1.8,4.8,Iris-virginica,0,-0.11498026934595701
output,140,6.9,3.1,2.1,5.4,Iris-virginica,0,-0.12065053497397138
output,141,6.7,3.1,2.4,5.6,Iris-virginica,0,-0.10521828687755969
output,142,6.9,3.1,2.3,5.1,Iris-virginica,0,-0.09955376286294787
output,143,5.8,2.7,1.9,5.1,Iris-virginica,0,-0.09798650911057216
output,144,6.8,3.2,2.3,5.9,Iris-virginica,0,-0.09339314143192662
output,145,6.7,3.3,2.5,5.7,Iris-virginica,0,-0.06801055953008095
output,146,6.7,3.0,2.3,5.2,Iris-virginica,0,-0.10947257006871886
output,147,6.3,2.5,1.9,5.0,Iris-virginica,0,-0.08146341318626632
output,148,6.5,3.0,2.0,5.2,Iris-virginica,0,-0.10722857374647948
output,149,6.2,3.4,2.3,5.4,Iris-virginica,0,-0.05614697571783833
output,150,5.9,3.0,1.8,5.1,Iris-virginica,0,-0.09048155586553269
